census_id,desc
GEO.id2,GEOID_ZIP
HC01_VC48,tot_pop
HC01_VC54,white
HC03_VC54,per_white
HC01_VC55,black_africanamerican
HC03_VC55,per_black_africanamerican
HC01_VC56,native
HC03_VC56,per_native
HC01_VC61,asian
HC03_VC61,per_asian
HC01_VC69,nativehawaiian_pacislander
HC03_VC69,per_nativehawaiian_pacificislander
HC01_VC74,some_other_one_race
HC03_VC74,per_some_other_one_race
HC01_VC75,two_or_more_races
HC03_VC75,per_two_or_more_race
HC01_VC93,hispanic_latino
HC03_VC93,per_hispanic_latino
